,qID,sentence,option1,option2,label
41,38G0E1M85OJHKHF44WPVK5AIL6SUV4-2,Donald lebih miskin dari Leslie karena perusahaan telah menemukan minyak pada properti dari _.,Donald,Leslie,2
42,3N2YPY1GI8C0VLIIEWAQGNOFZH8EVF-1,"Makanan anjing lebih banyak daripada minumannya, maka James memutuskan untuk menambahkan lebih banyak minuman karena _nya lebih berat.",makanan,minuman,1
43,3JVP4ZJHDR6WIPJO7ICSG9WHX9II06-2,Dengan latihan pemain skateboard bisa melompati rel tetapi tidak pada tanjakan karena _nya tinggi.,rel,tanjakan,2
44,3MA5N0ATTC912LBQGUEP8MWQ2XXKWJ-1,"Karena Benjamin makan makanan penutup yang tidak sehat jauh lebih sering daripada Brett, _ memiliki kemauan yang lemah.",Benjamin,Brett,1
45,371Q3BEXDJNIEOSAGOJYQA5QOKDZST-2,"Meskipun Christine kehilangan lebih banyak bobot daripada Jessica, _ masih memakan lebih sedikit permen secara keseluruhan meskipun demikian.",Christine,Jessica,2
46,388CL5C1RJLUP1YJ6V4QMJZI7S1LHW-2,"Matthew pergi ke dokternya, Randy karena inkontinensinya sehingga _ memberinya obat.",Matthew,Randy,2
47,3BO3NEOQM0FDPDIZFMXLDHKMI6MAIW-2,Putra Pak Tani melihat sebuah lubang di pagar kayu jadi dia mencoba memukul bola golf melaluinya; dia tidak menyadari bahwa _nya terlalu kecil.,bola,lubang,2
48,3UEDKCTP9VOMC6AP8M6DG6X993R7K1-1,Juru masak menambahkan biji labu dan tomat ke salad sebelum menyajikannya; _itu berwarna merah.,tomat ,biji,1
49,3BCRDCM0ODS386WKPC1LASXD98SK6R-1,Mata Lindsey berair tetapi Patricia tidak karena _ sedang memotong bawang di dapur.,Lindsey,Patricia,1
50,3MWOYZD5WX29Z7MY6JRVBIOGHH3NO4-1,"Saat makan malam, Steven kelaparan tetapi Ian sudah kenyang, jadi _ memakan pizza dengan cepat.",Steven,Ian,1
51,39AYGO6AFHYJA1GU6N51UI2QXN56N9-1,Biji pohon ek yang saya makan untuk camilan membuat gigi saya terkelupas karena _ itu keras.,biji pohon ek,gigi,1
52,3LN50BUKPXP1W7VE96OVNQPIO13PLD-2,"Setelah kecelakaan lalu lintas yang mengerikan, Justin membayar 3 juta kepada Benjamin, karena _ terluka parah.",Justin,Benjamin,2
53,3IYI9285WSYXD3Z3HIECVDPAQCIJCC-2,Ian umumnya memiliki lebih banyak uang tunai di dompet mereka daripada Nick karena _ dibayar dengan setoran langsung ke rekeningnya.,Ian,Nick,2
54,3LVTFB9DE7W6ARISYS64A3AJV6LQGT-2,"Berbeda dengan Amy yang pemalu, Monica adalah seorang ekstrovert, jadi _ menantikan untuk menghadiri pesta besar itu.",Amy,Monica,2
55,3ABAOCJ4RAI621EE9V4ZN8UGRD1QMB-2,"Pada hari binatu, Mary memiliki banyak pakaian putih dan banyak warna. Dia mengatur suhu ke dingin untuk _.",putih,warna,2
56,35A1YQPVFEEGJ76IKQ645640QVYI5H-2,"Karena Joseph memiliki fobia laba-laba dan Adam mencintainya, _ ingin membeli hewan peliharaan tarantula.",Joseph,Adam,2
57,34KYK9TV2TMMWQPUAA3V4SYOYNOBSB-1,"Mereka membeli meja dapur bukan meja kopi, karena _ cukup tinggi.",meja dapur,meja kopi,1
58,37J05LC5AXH7IV5HHE9NFJ7SBB3DJD-1,"Setelah Joel mulai berkencan dengan mantan pacar Dennis, _ mencoba memainkan hubungan baru.",Joel,Dennis,1
59,3M0556243SI0Z5AYNIW5WQRUW20FNU-2,Amy ingin kembali bekerja setelah pensiun tetapi Carrie tidak melakukannya karena _ sibuk.,Amy,Carrie,2
60,36FFXPMSTB2HPB0N3LWI6YRKVF7HOM-1,Kayla tidak menempatkan labu dan permen di teras mereka seperti yang Patricia lakukan karena _ tidak merayakan Halloween.,Kayla,Patricia,1
61,3AFT28WXLHGHL6B793E36AS0W9WIOR-1,"Sore itu, setelah dia memperbaiki gagang sepeda dengan lem, _nya terlepas karena itu dimaksudkan untuk kayu.",lem,gagang sepeda,1
62,3CMIQF80GNOPJ9UF2HLI6E9MDZWQ6C-1,Jim ingin menjadi jahat sehingga dia memutuskan untuk terlibat dalam perampokan dan coretan. Dia menyayangkan _ itu karena konsekuensinya yang ekstrem.,perampokan,coretan,1
63,39O6Z4JLX2VU7WASP3OICELEMEIXVC-1,Kompleks apartemen menerima Jason sebagai penyewa dan bukan Matthew karena _ memiliki pekerjaan tetap.,Jason,Matthew,1
64,3CMV9YRYP5F5AWSGETJBQU35DCRJLH-2,"Ketika Matthew melangkah dalam kotoran anjing mengenakan sepatu barunya, Dennis tertawa, jadi ibu memberi _ tatapan marah.",Matthew,Dennis,2
65,3D4BBDG7ZJA1MEWLYVYP74WTNL2C3N-1,"Jennifer membutuhkan hasil bumi, jadi dia pergi ke pasar dan dia memilih brokoli daripada selada karena _ terlihat segar.",brokoli,selada,1
66,3KLL7H3EGFFCFV9K4XIW1QLSR84HVO-1,"Rambut Emily baru-baru ini diwarnai untuk menghilangkan uban, tetapi Erin tidak pernah beruban, jadi _ lebih tua.",Emily,Erin,1
67,39WSF6KUV4Z5519LDKOCLVU73ZFOED-1,Natalie lebih buruk dalam membedakan nuansa warna daripada Elena karena _ buta warna.,Natalie,Elena,1
68,3KLL7H3EGFFCFV9K4XIW1QLSR84HVO-2,"Rambut Emily baru-baru ini diwarnai untuk menghilangkan uban, tetapi Erin tidak pernah beruban, jadi _ lebih muda.",Emily,Erin,2
69,36AZSFEYZ4YNUT7RK7W0NHUM8TABV2-2,"Mary tidak suka menjadi bagian dari kelompok manapun tidak seperti Jennifer, karena fakta bahwa _ adalah orang yang percaya diri.",Mary,Jennifer,2
70,3JU8CV4BRLAU83Z420SNN953TZOPOL-1,Pria itu akan meletakkan perahunya di danau tetapi _ itu terlalu dangkal.,danau,perahu,1
71,3AA88CN98RHKLF5XFT8DLH5F2X4YKX-1,Polisi ingin berbicara dengan Angela dan bukan Jennifer sehubungan dengan pembunuhan itu karena _ ada di tempat kejadian.,Angela,Jennifer,1
72,356TQKY9XHBHBU7VJVLAIZCQ2RJ87O-1,Tanamannya tidak tumbuh karena terlalu banyak yang ditanam di satu tempat. _nya terlalu kecil.,tempat,tanaman,1
73,3MQY1YVHS5YTRR8WGVOPDALJZ8KB2U-1,Mobil tua tidak akan muat di dalam garasi yang berantakan karena _ terlalu penuh.,garasi,mobil,1
74,39WSF6KUV4Z5519LDKOCLVU73ZFOED-2,Natalie lebih buruk dalam membedakan nuansa warna daripada Elena meskipun _ buta warna.,Natalie,Elena,2
75,37VHPF5VYC18TM3KQEHL6NGWAZ08CP-2,"Rachel memasukkan Tanya dalam video YouTube-nya, tetapi _ sangat marah karena dia gagal mendapatkan izin.",Rachel,Tanya,2
76,3MYASTQBG9P3Y781W25W4I7MIZ9QDT-1,"Kakinya menjadi lebih kuat karena menarik kereta luncur daripada mendorong balok, meskipun berat _ lebih ringan.",kereta luncur,balok,1
77,3N7PQ0KLI73GJCGZUM4KXSWW8I4E3D-1,Neil berjuang dengan kecemasan remaja ketika Logan menawarkan untuk membantu _ melewati masa sulit.,Neil,Logan,1
78,37PGLWGSJVKYVFQSBBMAZTBQBYPKIX-1,Membagi permen itu lebih sulit daripada membagi apel karena setiap anak ingin _.,permen,apel,1
79,3N5YJ55YXG153ETQC2ADIPG345GANC-1,Koki memutuskan untuk menyimpan makanan dalam wadah tetapi _nya terlalu besar.,makanan,wadah,1
80,3D17ECOUOET25MNGY0X5YAPUVXF131-2,Krim bekerja lebih baik untuk Benjamin daripada untuk Kenneth karena _ buruk dalam menerapkannya secara teratur.,Benjamin,Kenneth,2
81,3BA7SXOG1JOCZOS38B7GVIFIFHY8RT-2,"Nelson mengalahkan William untuk memimpin dalam drama sekolah, karena _ memiliki suara musik yang lebih buruk.",Nelson,William,2
82,3UZUVSO3P99H5YO9049ZTR528ADMEV-2,Anak laki-laki itu mendapat masalah karena mencuri cincin itu tetapi dia tidak menyentuh kalung itu karena _ itu bernilai sangat kecil.,cincin,kalung,2
83,366FYU4PTGN7LLPZVUKJMGPQQDWEK0-1,Victoria menggunakan lebih banyak minyak saat menggoreng ayam daripada Maria karena _ tidak peduli dengan kolesterol.,Victoria,Maria,1
84,3N7PQ0KLI73GJCGZUM4KXSWW8I4E3D-2,Neil berjuang dengan kecemasan remaja ketika Logan menawarkan bantuan dan _ berhasil melewati masa sulitnya.,Neil,Logan,2
85,38F60IALAIVMR3ZZ1UBWUGYRA2T0TS-1,Don memiliki lebih banyak kerutan di dahinya daripada di lehernya karena kulit di _ tertutup.,leher,dahi,1
86,3VGET1QSZ0XD7646X0PG4HR4RR5W7K-2,"Samantha cemburu dengan kesehatan Angela, jadi _ menyuruh mereka untuk mulai mengonsumsi lebih banyak vitamin.",Samantha,Angela,2
87,38DCH97KHJGG1T8T6YR77G2ZNUIJQY-1,Michael membeli ulat burung sebagai makanan hewan peliharaan tetapi Kenneth tidak membeli karena _ memiliki kadal sebagai hewan peliharaan.,Michael,Kenneth,1
88,3J06WJ78HNI2375XPON0OTOTBM2VV6-2,"Dokter memberi tahu Joel bahwa dia perlu berhenti merokok, sedangkan William tidak perlu, karena _ adalah perokok biasa.",Joel,William,2
89,3JU8CV4BRLAU83Z420SNN953TZOPOL-2,Pria itu akan meletakkan perahunya di danau tetapi _ itu terlalu besar.,danau,perahu,2
90,3TC2K6WK9G0VV4BITLSFUA7A3MP82F-2,Perban yang dibelinya untuk menutupi luka bakar tidak muat karena _nya terlalu kecil.,luka bakar,perban,2
91,3J6BHNX0UB6Q9G1J8RZ24178YD1KNU-2,Ide diberikan kepada Steven untuk direnungkan dan bukan Ryan karena _ kurang kreatif.,Steven,Ryan,2
92,37MQ8Z1JQEUAAA206PQ9TNVCRPFY2D-1,Logan tahu Ryan takut tikus di rumah sehingga _ pergi dan memasang jebakan.,Logan,Ryan,1
93,3D5G8J4N5A2NQF18KTNLNB08EVBTV1-2,"Saya memanggang daging sapinya terlalu lama, tetapi tidak dengan dada ayamnya, sehingga _nya kering.",dada ayam,daging sapi,2
94,3D5G8J4N5A2NQF18KTNLNB08EVBTV1-1,"Saya memanggang daging sapinya terlalu lama, tetapi tidak dengan dada ayamnya, sehingga _nya berair.",dada ayam,daging sapi,1
95,3A3KKYU7P5VBMYA0L435FXC2FNHWM2-2,Kandang burungnya lebih bersih daripada kandang anjing karena _nya lebih sering digunakan.,kandang burung,kandang anjing,2
96,3D0LPO3EADD3B6QCDL06SYMOM5COYB-1,Tina meminta para tamu untuk melepas sepatu mereka ketika memasuki rumah karena dia memiliki karpet baru. Katanya _nya sering kotor.,sepatu,karpet,1
97,341H3G5YF2SIDF8Y7M0EG4Z8ULKZ0L-1,"Rutinitas baru saya akan menyesuaikan jadwal saya, karena _nya sangat cepat.",rutinitas,jadwal,1
98,37VHPF5VYC18TM3KQEHL6NGWAZ08CP-1,"Rachel memasukkan Tanya dalam video YouTube-nya, tetapi _ menyesal karena dia gagal mendapatkan izin.",Rachel,Tanya,1
99,388CL5C1RL19JQXQQTGQEHNR14ULHS-2,Jari James tidak bisa masuk ke hidungnya saat gatal karena _nya sangat besar.,hidung,jari,2
100,3KA7IJSNW63AP9AVYVN1HP54M5LBPT-1,"Christine memiliki pernikahan terburuk daripada Rebecca karena dalam pernikahan _, cuacanya buruk.",Christine,Rebecca,1
101,3LVTFB9DE5GRG2JLEUU4I5MB7C2GQ5-2,Ben pergi ke restoran dan terjebak di antara memesan teh jahe atau peppermint. Dia memilih _ karena dia menyukai kesegarannya.,jahe,mint,2
102,3MWOYZD5WX29Z7MY6JRVBIOGHF0NOX-2,"Katrina mewariskan semua pengalamannya kepada Patricia, karena _ telah memilih untuk menjadi murid mereka.",Katrina,Patricia,2
103,3JUDR1D0D6P118BEFF9FG1SAXQF2QK-1,Pria itu mencoba menggunakan remote untuk menyalakan televisi tetapi _ terlalu jauh.,remote,televisi,1
104,3IWA71V4TKUOMVUY8TSASKTOZWR6XV-2,Patricia memilih kultivar yang kuat untuk tumbuh tidak seperti Tanya karena _ memiliki tanah yang sangat subur.,Patricia,Tanya,2
105,3CO05SML7V3UHZN0D7U12390R1KR0I-2,Kesehatan mental Brian jauh lebih buruk daripada William karena _ menemui terapis.,Brian,William,2
106,34F34TZU7YDZ9A684N16BY4X9YM2J9-2,"Nongkrong di pesta yang ada minuman bir dan sodanya, saya ingin tetap sadar jadi saya mengambil _ dari pendingin.",bir,soda,2
107,3D5G8J4N5A2NQF18KTNLNB08E0YTVY-2,Michael memiliki kehidupan yang begitu mudah dibandingkan dengan Steven karena _ berasal dari keluarga miskin.,Michael,Steven,2
108,3D06DR5225HZLW8Q01VD5AR3ZJPAM3-1,"Patricia harus memberikan pidato publik, tetapi sangat gugup dibandingkan dengan Jennifer, karena _ pemalu.",Patricia,Jennifer,1
109,37SOB9Z0SUBUPIQRB8ROANMHJ463L8-1,Dia ingat betapa menyebalkannya membersihkan kursi kayunya jadi dia membeli meja plastik sebagai gantinya. Membersihkan _ memakan waktu.,kursi,meja,1
110,3A3KKYU7P3FWS9BT16R5NZOUMH7MWU-1,Jennifer lebih baik dalam olahraga daripada Laura karena _ jauh lebih atletis.,Jennifer,Laura,1
111,33QQ60S6AUW1RGEO1Z16ZCKTSIS0UE-1,Jim senang menukar mejaku dengan komputernya. Dia merasa _nya akan bekerja dengan baik.,meja,komputer,1
112,388CL5C1RJLUP1YJ6V4QMJZI7S1LHW-1,"Matthew pergi ke dokternya, Randy karena inkontinensianya sehingga _ diberi obat.",Matthew,Randy,1
113,3LVTFB9DE7W6ARISYS64A3AJV4WGQQ-2,Pisau cukur Carrie jauh lebih tumpul daripada milik Patricia karena _ membeli yang baru kemarin.,Carrie,Patricia,2
114,3MVY4USGB6LHP94TWMJCYHESZZOSIA-2,Amy tidak harus mendapatkan pengacara meskipun Monica melakukannya karena _ tidak dapat membatalkan tuntutan mereka.,Amy,Monica,2
115,3TD33TP5DNGIWU30TAH4JS4ICCTABG-2,Cynthia mengobati infeksi pada Felicia di rumah sakit setelah _ mendapatkan luka di kakinya.,Cynthia,Felicia,2
116,38Z7YZ2SB5GK6IONOG67VFNZAHOIQK-1,"Justin suka kubis, brokoli dan sawi hijau Sedangkan Hunter menyukai buah-buahan. _ menumbuhkan kebun setiap tahun.",Justin,Hunter,1
117,3MZ3TAMYTLL5OU4GHXJ7879WIBGRIT-1,Ben harus berhenti makan cokelat atau kacang. Dia memilih untuk berhenti makan _ karena rasanya manis.,cokelat,kacang,1
118,39HYCOOPKOJXJ3B2KBMFVBZ9KMMDM8-1,Felicia tiba-tiba membuat telur goreng untuk sarapan di pagi hari untuk Katrina karena _ berutang budi.,Felicia,Katrina,1
119,39WICJI5ATQZ0I8O6B6XQ4963XJZ3G-2,"Kenneth mengunduh info menggunakan komputernya sementara Logan menggunakan tablet, _ menggunakan tabletnya untuk mengunduh file Excel.",Kenneth,Logan,2
120,374UMBUHN5NRR6V8TCSGXJCJTQVTC6-2,"Saya menggunakan kapak untuk menebang pohon, tetapi harus mendapatkan kapak yang lebih besar karena _ itu terlalu tebal.",kapak,pohon,2
121,3L1EFR8WWVJU4S5B66P06NKIKRHF9X-2,"Randy bermimpi bahwa teman mereka, Jason, akan mengalami kecelakaan mobil setelah bekerja. _ sibuk dan tidak tahu temannya mencoba menghubunginya.",Randy,Jason,2
122,3TC2K6WK9IGAPTAPDJ4FM8VIR2Z82S-1,"Saya menuangkan air dari cangkir ke pot untuk membuat bunga tumbuh, dan saat saya menuangkan, _ menjadi lebih ringan.",cangkir,pot,1
123,3B9XR6P1WG9TXN64NGUHCR701UHJBM-1,"Maria berjuang dengan ujiannya dan meminta bantuan dari Rebecca, karena _ ingin lebih sukses.",Maria,Rebecca,1
124,3UDTAB6HH6XODZREJQUFBI96LIB90G-2,Brian beristirahat di ranjang besar saat Kevin belajar karena _ sangat tertinggal di sekolah.,Brian,Kevin,2
125,3BJKPTD2QEQARXJYV7UBECZEIS5TRV-1,"Pria itu meninggalkan sepatunya di teras, tetapi membawa payungnya ke dalam, karena _nya basah.",sepatu,payung,1
126,3BAKUKE49JQ9ID7PTOA186GJQBU1RE-1,Dia menggunakan mentega untuk menumis udang dengan terong dan pasta. _nya berserat.,pasta,terong,1
127,3BA7SXOG1L4RTDRAS9JGNG3R5JSR8L-2,"Michael membutuhkan Craig untuk membawa keranjangnya sepanjang perjalanan pulang, karena _ sehat secara fisik.",Michael,Craig,2
128,371DNNCG440PF35VC0CBVXG033L8TY-2,Robert membantu menciptakan sensasi video virus internet dari Kyle ketika _ menari di video.,Robert,Kyle,2
129,3MQKOF1EE2MTOF5GODS24910D6FWDS-2,"Perusahaan asuransi menyalahkan Leslie, bukan Logan, atas kecelakaan itu karena _ mendapat lampu hijau.",Leslie,Logan,2
130,38G0E1M85M32QSGXKYDVS7MAXE5VUR-2,Hunter dengan percaya diri menunjukkan Adam tangki air yang ia bangun akhir pekan ini. _ terkesan.,Hunter,Adam,2
131,37S0QRNUFDULB8CET0DGWZ8MFNK88Y-2,"Untuk membersihkan lantai saya, saya menggunakan sapu dan kadang-kadang juga menggunakan pel, karena saya ingin teliti hari ini saya menggunakan _ di lantai.",sapu,pel,2
132,3MD8CKRQZZL1J5OMZF47K8OWQCURJX-1,"Dennis ingin mengajar biologi, tetapi Lawrence berpikir dia harus mengajar kimia sehingga _ mengalah dan mengajar kimia.",Dennis,Lawrence,1
133,35YHTYFL1IHS1ZIE97UWY59FBTRVF4-1,Dennis memundurkan Nelson hingga ke sudut kecil selama perdebatan sengit karena _ dominan.,Dennis,Nelson,1
134,3M7OI89LVYMLP8KWXZKNM9K59J76CX-2,"Saya memasang rumah burung baru di atas tanah di luar, tetapi harus menopangnya lebih tinggi dari kucing saya karena _nya terlalu tinggi.",rumah burung,tanah,2
135,3M4KL7H8KVL125AYH2V35D1E5OH167-1,"Amy benci bau pemutih, tetapi Kayla tetap menggunakannya untuk membersihkan sehingga _ selalu keluar rumah.",Amy,Kayla,1
136,388CL5C1RL19JQXQQTGQEHNR2ADHLK-2,"Steven melakukan yang terbaik untuk membuat Logan kesal sepanjang waktu, karena _ dengan mudah gelisah.",Steven,Logan,2
137,3L60IFZKF5W7XUE0Z81SMPUJJJGHH1-2,Jessica lebih kurus dari Rebecca karena _ makan cokelat hampir setiap hari sebagai camilan.,Jessica,Rebecca,2
138,3JHB4BPSFMNRVHVKKM0UIMOXSZZ9Q9-1,"Doris berharap dia pergi ke konser rock daripada pertunjukan seni, karena _ itu membosankan.",pertunjukan seni,konser rock,1
139,39HYCOOPKOJXJ3B2KBMFVBZ9KMMDM8-2,Felicia tiba-tiba membuat telur goreng untuk sarapan di pagi hari untuk Katrina dan sekarang _ berutang budi.,Felicia,Katrina,2
140,3UOMW19E6D4P64KISGAIU365DNSC5H-1,Anak-anak hanya bisa menghitung jumlah bola dalam satu toples dan bukan kacang di toples lainnya karena _nya lebih mudah diatur.,bola,kacang,1
141,3LN3BXKGC29BUOEEA15A2SS5J5DGWU-2,"Carrie berurusan dengan kematian anjing mereka seperti di mana Amy kehilangan kucing mereka, _ adalah pecinta kucing.",Carrie,Amy,2
142,3AFT28WXLHGHL6B793E36AS0W9WIOR-2,"Sore itu, setelah dia memperbaiki gagang sepeda dengan lem, _nya lepas karena butuh produk yang lebih kuat.",lem,gagang sepeda,2
143,3D1UCPY6GG7KGM71XL6KDKC292G83L-1,Peter perlu melakukan pekerjaan yang konsisten dan dapat menggunakan kunci pas daripada mengganti obeng karena _ pas itu tahan lama.,kunci,obeng,1
