Unnamed: 0,nonsense_sentence,logical_sentence,correct_reasoning_1,correct_reasoning_2,correct_reasoning_3,wrong_reasoning_1,wrong_reasoning_2
13,Seorang karyawan dapat menentukan harga barang,Seorang pemilik dapat menentukan harga barang,Hanya pemilik bisa harga barang,Tidak biasa bagi seorang karyawan untuk diberikan tingkat tanggung jawab ini,Karyawan tidak memiliki wewenang untuk menentukan harga barang,Seorang pemilik menyajikan makanan kepada karyawan,Pemilik selalu berdiri dan menjual barang
14,dia memakai topi di tangan,dia memakai gelang di tangan,topi biasanya dipakai di kepala,Topi tidak dipakai di tangan.,Topi untuk kepalamu.,Topi biasanya berwarna hitam dan gelang dalam berbagai warna,topi akan menjadi besar dalam ukuran
15,Sepupu saya melempar rumah itu ke saudara laki-laki saya.,Sepupu saya melempar bola salju ke saudara saya.,Sebuah rumah terlalu besar untuk dilempar.,Anda tidak bisa melempar rumah.,Sebuah rumah terlalu besar untuk dilempar.,Rumah biasanya mahal.,Ada beberapa rumah di jalan ini.
17,Lisa memainkan musik jazz untuk Musa Perjanjian Lama kemarin.,Lisa memainkan musik jazz untuk Presiden amerika SERIKAT kemarin.,Musa sudah lama mati dan tidak bisa mendengar konser kemarin.,Musa tidak hidup.,Musa tidak hidup.,Musa terlalu sibuk berbicara dengan semak yang terbakar,Jazz adalah bentuk seni memudar
18,komputer rusak dan dokter memperbaikinya,komputer mogok dan teknisi akan memperbaikinya,seorang dokter tidak memperbaiki komputer,Dokter memperbaiki orang bukan komputer.,"Dokter memperbaiki orang, bukan komputer",teknisi menyembuhkan orang dan dokter menyembuhkan mesin,teknisi adalah teman dokter dan memperbaiki komputer
19,Saya minum pemutih.,Aku minum air.,Pemutih digunakan untuk membersihkan.,"Biasanya orang tidak minum pemutih, itu tentu tidak disarankan untuk melakukannya",pemutih akan membunuh anda jika anda meminumnya,Pemutih adalah cairan yang lebih padat dari air.,Pemutih tidak disimpan di dapur.
20,Saya biasanya memakai sepatu di kepala saya,Saya biasanya memakai sepatu di kaki saya,Sepatu hanya bisa dipakai di kaki,Sepatu dikenakan di kaki.,sepatu untuk kaki bukan kepala,Cap terlihat bagus di kepala,Kami memakai hal-hal yang berbeda di kepala
21,Saudaraku meletakkan reaktor nuklir di dalam kotak.,Adikku meletakkan mobil di dalam kotak.,Reaktor nuklir terlalu besar untuk ditempatkan di dalam kotak.,Seseorang tidak dapat mengambil reaktor nuklir.,Reaktor nuklir terlalu besar untuk bisa dimasukkan ke dalam kotak.,Reaktor nuklir dapat terkandung dalam sebuah wadah.,Reaktor nuklir terkandung di suatu tempat.
22,Dia mengambil kursi untuk berjalan-jalan,Dia mengajak anjingnya jalan-jalan,Kursi tidak bisa berjalan,Kursi tidak digunakan untuk berjalan. Ini menciptakan situasi yang tidak nyaman.,Kursi tidak hidup.,Kursi hanya dapat pergi untuk berjalan,Kursi berwarna merah
25,Saya mengendarai sepeda,Saya mengendarai mobil,Sepeda yang dikendarai tidak dikendarai,"Anda mengendarai sepeda, bukan mengendarainya",Anda mengendarai sepeda.,Sepeda dan mobil adalah moda transportasi yang sangat baik,Saya menggunakan sepeda atau menggunakan mobil untuk pergi ke kantor
27,Saya memasak sepak bola dengan sangat baik,Saya memasak ikan dengan sangat baik,"Sepak bola adalah sesuatu untuk dimainkan, bukan sesuatu untuk dimakan","Bola kaki bukan makanan, dan karenanya tidak dimasak.",Anda tidak bisa memasak sepak bola.,Sebuah bola yang disimpan di atas meja terlihat bagus,Ukuran bola dan semangka hampir sama
28,Mobil adalah moda transportasi air yang sangat baik,Perahu adalah moda transportasi air yang sangat baik,Mobil adalah moda transportasi darat,Mobil bukanlah moda transportasi yang baik,Mobil tidak melayang di air.,Mobil dan kapal adalah moda transportasi yang baik,Saya menggunakan perahu dan mobil untuk bepergian
30,Dia naik sepeda ke bulan.,Dia naik sepeda ke toko.,"Toko adalah tempat yang wajar untuk mengendarai sepeda, dan kita tidak bisa mengendarai sepeda ke luar angkasa atau bulan.",Ini tidak mungkin.,"TIDAK ADA JALAN MENUJU MOON, SEPEDA SEPEDA TIDAK BISA PINDAH KE MOON.",Sepedanya tidak sama warnanya dengan bulan.,Dia tidak memiliki izin dari orang tuanya untuk naik sepeda yang jauh dari rumah.
31,Seorang anak laki-laki mati,Ponsel dimatikan,"Anak laki-laki dapat tertidur, tetapi anak laki-laki tidak dapat ditutup","Manusia biasanya tidak mematikan, mematikan biasanya digunakan untuk menggambarkan teknologi.",Manusia tidak bisa dimatikan,Anak laki-laki penuh energi,Anak laki-laki adalah laki-laki
33,Saya bermain game di kompor gas saya,Saya bermain game di laptop saya,Kompor gas adalah peralatan untuk memasak makanan,Kompor gas untuk memasak.,Kompor gas bukan mainan.,Kompor gas merupakan peralatan yang sangat penting digunakan di rumah,Kompor gas sering digunakan di rumah
34,Bintang membaca saya,Saya membaca bintang,Bintang tidak memiliki mata,bintang-bintang tidak dapat membaca,Orang-orang membaca bintang-bintang dan bukan sebaliknya.,Bintang terlalu besar,Bintang terlalu jauh
35,Seorang anak laki-laki mematikan pintu,Anak laki-laki mematikan lampu,Sebuah pintu dapat ditutup tetapi pintu tidak dapat dimatikan,Pintu tidak bisa dimatikan.,Sebuah pintu tidak pernah menyala sehingga tidak bisa dimatikan.,Sebuah pintu tidak bisa mematikan lampu,Lampu tidak bisa menutup pintu
36,Dia membaca jendela yang sangat panjang King Tut.,Dia membaca buku tentang King Tut.,"Buku memiliki halaman dan kata-kata untuk dibaca, sementara windows tidak dan melayani tujuan yang berbeda.",Anda tidak dapat membaca jendela.,Dia tidak bisa membaca jendela.,Jendela kaca diciptakan setelah Raja Tut lahir.,"Windows membiarkan matahari masuk, tempat kucing suka berbaring sementara buku membuat tempat teduh yang membuat kucing pindah ke tempat yang lebih cerah."
37,Dia kehilangan ponselnya di mulut seorang Griffin.,Dia kehilangan teleponnya di taman.,Griffin adalah makhluk mitos yang tidak ada.,Griffin tidak ada dan jadi ini tidak mungkin,tidak ada yang namanya griffin,Griffin akan menemukan bahwa logam pada telepon itu menjijikkan dan tidak mau memakannya.,Griffin selalu berbagi apa yang ia makan dengan baby griffin.
38,Sara punya segelas bensin,Sara minum segelas air,minum bensin berbahaya bagi kehidupan seseorang,Sara tidak bisa minum bensin,orang biasanya tidak minum bensin,Sara tidak suka rasa bensin,Sara tidak cukup haus untuk memiliki segelas penuh bensin
40,Saya membaca seekor harimau,Saya membaca buku,Seekor harimau tidak memiliki surat pada dirinya sendiri,"Harimau bukanlah buku atau kalimat apa pun, itu makhluk hidup.",Harimau tidak bisa dibaca.,Seekor harimau berwarna oranye,Seekor harimau liar
41,Saya menggunakan internet di radio saya,Saya menggunakan internet di ponsel saya,Internet tidak dapat digunakan di radio,Anda bisa menggunakan internet untuk mendengarkan radio,radio tidak menggunakan internet,Kami mendapat sinyal di radio,Radio adalah mode komunikasi yang hebat
42,Dia mengantar anak-anaknya ke bulan.,Dia mengantar anak-anaknya ke taman bermain.,Bulan tidak dapat dijangkau dengan mobil.,Bulan ada di luar angkasa.,Bulan ada di luar angkasa.,Anak-anak tidak bisa bernapas di bulan.,Bulan tidak memiliki set ayunan.
43,Dia terjun payung ke toko kelontong dari pesawat.,Dia pergi ke toko kelontong.,"Jika Anda melompat dari pesawat untuk mendapatkan bahan makanan, Anda tidak akan bisa membawanya pulang.",Anda tidak dapat mendarat di dalam toko,Ini adalah tempat Anda harus berjalan atau mengemudi.,Sulit untuk memarkir pesawat di tempat parkir toko grosir.,Toko kelontong tidak membawa parasut.
44,Ikan berenang di padang pasir.,Ikan berenang di laut.,"Gurun tidak memiliki air, sehingga seekor ikan tidak bisa berenang di sana.",Gurun adalah kering dan tidak memiliki air dan ikan membutuhkan air untuk berenang,Gurun tidak memiliki air.,Ikan tidak mengambil liburan ke padang pasir.,"Ikan berenang di air yang berwarna biru atau hijau, sedangkan gurun pasir berwarna kuning"
45,Ada makhluk es mati berjalan di salju.,Ada seorang pria berjalan di salju.,Makhluk es mati tidak ada.,Benda mati tidak bisa berjalan.,Makhluk mati tidak berjalan.,Makhluk es yang mati tidak berjalan di atas es.,Makhluk es yang mati tidak bisa berjalan.
46,Aku berenang di bawah keran,Aku berenang di kolam renang,Tidak ada cukup air di bawah keran untuk berenang,"Anda berenang di kolam renang, laut atau sungai biasanya",Aku berenang di kolam renang.,Ketuk sumber air yang baik,Air keran umumnya digunakan untuk mandi
47,Seseorang makan gunung,Seseorang makan tomat,Gunung jauh lebih besar dari seseorang,Gunung tidak bisa dimakan.,Gunung bukanlah makanan.,Gunung biasanya dingin sedangkan seseorang biasanya panas,Gunung tidak bisa memakan seseorang
49,Kami menggunakan buku untuk mengetahui waktu,Kami menggunakan jam untuk mengetahui waktu,Sebuah buku digunakan untuk belajar,Sebuah buku tidak memiliki kemampuan untuk menunjukkan jam berapa sekarang.,Buku tidak memberi tahu waktu,Buku dan jam sangat penting dalam kehidupan kita sehari-hari,Sebuah buku memainkan peran yang sangat penting dalam kehidupan kita
50,Saya sedang bermain basket dengan batu,Saya bermain basket dengan bola,"Anda membutuhkan benda memantul untuk bermain basket, dan batu tidak memantul",Biasanya orang menggunakan semacam bola untuk bermain basket,Sebuah batu tidak akan memantul,Batuan biasanya buram dan bola berwarna oranye,Orang-orang sangat suka menonton NBA
52,Saya suka mendengarkan warna saat saya bepergian,Saya suka mendengarkan podcast saat saya bepergian,Warna tidak bisa didengarkan,Warna tidak memiliki suara.,Warna tidak menghasilkan suara.,Warna biasanya tidak mudah ditemukan dalam gelap,Anda tidak harus berlari saat Anda bepergian
53,Saya berlari di udara,Saya berlari di tanah,Berjalan tidak mungkin di udara,Udara tidak kokoh untuk menyala.,Gravitasi membuat kita tetap di tanah.,Kita bisa bepergian menggunakan udara dan darat,Burung-burung terbang di udara
54,Ada seorang wanita berambut pirang mengendarai naga.,Ada seorang wanita menunggang gajah di Afrika.,Naga tidak ada.,Sayangnya naga tidak ada dan jadi seorang wanita (berambut pirang atau yang lain) tidak bisa mengendarainya,Naga tidak nyata.,Wanita berambut pirang tidak mengendarai naga.,Biasanya wanita tidak naik naga.
55,Dia makan buku itu,Dia makan apel,Buku bukan makanan,Buku tidak dapat dimakan,Buku bukan makanan.,Buku rasanya tidak enak,Dia tidak suka buku
56,Jake makan mangga buatan,Jack makan mangga,Manusia tidak bisa makan buah buatan,Mangga buatan bukan makanan asli sehingga tidak bisa dimakan.,"Makanan artifisial, menurut definisi, bukan makanan aktual yang mereka tiru.",Mangga yang manis tapi pahit juga,Mangga tidak bisa makan jack
57,Bayi mengambil kamus,Bayi mengambil mainan,Itu terlalu berat,Seorang bayi tidak membaca sehingga tidak akan mengambil kamus,Kamus adalah buku berat yang tidak bisa diangkat atau diambil oleh bayi.,Kamus penuh warna,Kamus tidak dapat membawa bayi
58,sekolah dibuka untuk musim panas,sekolah terbuka untuk musim gugur,musim panas biasanya waktu liburan untuk sekolah,Sekolah ditutup pada musim panas untuk istirahat.,Di sebagian besar negara sekolah libur musim panas.,suhu di luar terlalu panas untuk belajar di musim panas,sekolah menunggu sampai daun pertama jatuh di musim gugur untuk membuka
59,Coklat itu menangis,Cokelatnya meleleh,Cokelat adalah padatan yang meleleh sehingga tidak bisa menangis,coklat tidak menangis,"Cokelat adalah benda mati, bukan manusia dan tidak bisa menangis.",Cokelat tidak memiliki mata untuk menangis,Cokelat itu terlalu dingin
60,Ada barbekyu di tengah-tengah program televisi,Ada iklan di tengah program televisi,barbecue adalah objek fisik tidak seperti iklan,Barbekyu tidak dapat ditempatkan di acara tv.,"barbekyu berada di kebun atau pekarangan, bukan di tengah-tengah program televisi",barbecue dapat ditampilkan dalam iklan,barbecue dan iklan dijual kepada kami
62,Anda tidak pernah muntah setelah mabuk,Anda kadang-kadang muntah setelah mabuk,Terlalu banyak alkohol dalam organisme kita membuat kita muntah,Alkohol ketika dikonsumsi dalam jumlah tinggi dapat menyebabkan mual dan bagi banyak orang ini menyebabkan muntah.,Minum alkohol bisa membuat orang muntah.,Kita semua muntah tanpa alkohol,Ada minuman tanpa alkohol
63,Anda bisa menggunakan ubur-ubur untuk menahan cek.,Anda dapat menggunakan tempat buku cek untuk menahan cek.,Ubur-ubur adalah makhluk laut yang tidak dimaksudkan untuk memegang apa pun.,Ubur-ubur hidup di laut dan air akan merusak cek.,ubur-ubur terlalu jeli untuk menampung benda-benda,Ubur-ubur lunak dan cek terbuat dari kertas.,Ubur-ubur tidak makan cek.
64,Pengacara adalah orang yang memainkan karakter di televisi atau teater,Aktor adalah orang yang memainkan karakter di televisi atau teater,pengacara adalah orang-orang yang memberikan bantuan hukum,Pengacara sungguhan tidak memainkan karakter di TV atau teater,Pengacara membela atau menuntut orang-orang yang dituduh melakukan kejahatan.,banyak pengacara tidak punya waktu untuk menonton televisi,beberapa karakter di televisi atau teater adalah pengacara
65,Jerapah mengendarai mobil,Seorang pria mengendarai mobil.,Jerapah terlalu besar untuk masuk ke dalam mobil,Jerapah tidak bisa mengemudi atau bahkan muat di dalam mobil.,Jerapah tidak akan muat di dalam mobil.,Jerapah biasanya pengemudi yang gegabah,Jerapah lebih suka pesawat daripada mobil
66,Seekor anjing kecil disebut anak kucing,Seekor anjing kecil disebut anak anjing,anak kucing adalah kucing kecil,anak kucing adalah kucing kecil,Anak kucing adalah kucing kecil.,anak kucing lebih kecil dari anjing,anak kucing tidak bisa makan makanan anjing
67,Burung beo itu mulai bekerja,Pria itu pergi bekerja,Burung beo tidak memiliki pekerjaan,Burung beo adalah binatang dan tidak memiliki pekerjaan.,Burung beo tidak bekerja,Bayan bermain lompat tali saat mereka bermain kartu di tempat kerja,Burung beo tidak bisa naik kereta bawah tanah untuk bekerja
69,Dia membunuhnya dengan bahasa pemrograman,Dia membunuhnya dengan pisau,Bahasa pemrograman bukanlah senjata,Seseorang tidak bisa membunuh seseorang dengan bahasa pemrograman,Bahasa pemrograman hidup di dunia virtual dan bukan di dunia fisik dalam bentuk yang bisa membunuh seseorang,Bahasa pemrograman berbahaya,Dia tidak suka bahasa pemrograman
70,Bioskop berbagi popcorn dengan mereka,Mereka membagikan popcorn mereka di bioskop,Anda tidak dapat berbagi makanan dengan pendirian,Bioskopnya bukan orang.,Bioskop tidak dapat dibagikan.,popcorn adalah untuk memberi makan ayam,popcorn hanya fiksi
72,Seorang aktor memakai pemanggang roti.,Seorang aktor bisa memakai kostum.,Pemanggang roti bukanlah pakaian,Pemanggang roti dalam produk listrik dan bukan pakaian.,Pemanggang roti adalah alat listrik yang tidak bisa dipakai.,Toaster tidak dalam mode.,Pemanggang roti terlalu panas sedangkan kostum tidak.
73,Pria itu tidur di gunung berapi.,Pria itu tidur di tempat tidur.,Tempat tidur umumnya nyaman sementara gunung berapi menyebabkan kerusakan.,Gunung berapi sangat panas dan akan membunuh siapa pun yang akan tertidur pada satu.,Gunung berapi sangat panas dan orang tidak akan bisa tertidur jika tetap hidup.,Gunung berapi jauh lebih besar dari tempat tidur.,Tempat tidur tidak bisa di gunung berapi.
74,Dia berbicara kepada hantu di pintu.,Dia berbicara dengan seorang pria di pintu.,Hantu itu tidak ada.,hantu tidak terlihat untuk berbicara,GHOST BUKAN PRIA,Hantu berwarna putih sedangkan pintu berwarna kuning.,Hantu tidak dapat berbicara dengan yang hidup.
75,Anda tidak akan pernah melihat seorang guru di dalam sekolah.,Anda akan menemukan guru di sekolah.,Sebuah sekolah membutuhkan guru untuk menjalankan dan mengajar murid sehingga guru akan selalu berada di sekolah.,Guru bekerja di sekolah sehingga Anda akan selalu melihatnya di sana,Guru bekerja di sekolah.,Guru diwajibkan secara hukum untuk selalu berada di dalam sekolah.,Guru tinggal di dalam sekolah dan memiliki rumah sendiri yang mereka tinggali di dalam sekolah
76,Dia memotong pizza dengan papan iklan.,Dia memotong pizza dengan pisau.,Papan iklan jauh lebih besar daripada pizza.,Papan iklan tidak digunakan untuk memotong.,papan iklan terlalu besar untuk memotong pizza,Tanda iklan biasanya berbentuk bujur sangkar sementara pizza berbentuk bulat.,Papan iklan tidak bisa makan pizza.
77,Mereka membangun matahari,Mereka membangun sebuah rumah.,Matahari adalah objek alami yang diciptakan dari ruang angkasa,Tidak ada yang membangun Matahari.,Matahari diciptakan secara alami.,Matahari lebih besar dari rumah,Matahari menyebabkan orang memakai tabir surya di pantai
78,Pria itu menaruh beberapa bangunan di microwave,Pria itu menaruh beberapa muffin dalam microwave,Orang tidak memanaskan gedung dalam microwave,buddings tidak pas dengan gelombang mikro,Bangunan tidak muat di dalam microwave.,Bangunan dan gelombang mikro bisa berwarna sama.,Bangunan dan gelombang mikro keduanya keras
79,Ada ayam terbang.,Ada burung terbang.,Ayam tidak terbang.,Ayam tidak sering terbang.,Ayam tidak terbang,Ayam lebih suka tinggal di lantai.,Tidak umum melihat ayam terbang.
80,Dia memainkan sapi dengan sangat baik,Dia memainkan harpa dengan sangat baik,Sapi bukan alat musik,Seekor sapi adalah binatang dan bukan alat musik,anda tidak bermain sapi,Sapi bukan kendaraan,Sapi tidak hidup
81,Anda masih hidup jika anda tidak memiliki detak jantung.,Jika detak jantung Anda berhenti maka Anda digolongkan mati.,Detak jantung Anda adalah apa yang membuat Anda tetap hidup dan bernafas dengan mengangkut darah sehingga tanpa itu Anda mati.,"Jika seseorang tidak memiliki detak jantung, mereka tidak hidup.",Jantung harus berdetak untuk makhluk hidup agar tetap hidup.,Semua manusia memiliki detak jantung dan tanpa detak jantung Anda tidak seperti manusia hidup lainnya sehingga Anda mati.,Orang yang hidup hangat karena jantungnya mengangkut darah dan jika Anda tidak memiliki hati Anda kedinginan yang berarti Anda sudah mati.
82,trampolin melompat padanya,Dia melompat di atas trampolin,trampolin tidak hidup dan tidak bisa melompat,Trampolin masih benda yang tidak melakukan tindakan.,Trampolin tidak bisa melompat,trampolin dapat mengatakan seberapa tinggi untuk melompat,pria itu adalah trampolin
83,Georgia Tech melatih naga,Georgia Tech adalah sekolah.,Naga bukan makhluk yang ada,Naga tidak ada,Teknologi Georgia melatih orang,Naga terlalu besar untuk bangunan di Georgia Tech.,Naga memiliki lebih banyak ekor daripada orang.
84,Dia pergi ke sekolah dalam kotak makan siang,Dia pergi ke sekolah dengan bus,Kotak makan siang adalah wadah untuk membawa makanan,Seseorang tidak akan muat di dalam kotak makan siang.,Tidak mungkin bepergian ke mana pun dalam kotak makan siang,Kotak makan siang berwarna biru dan dia tidak suka warna biru,Kotak makan siang penuh
85,Bulan diperbaiki dan seperti itulah ia kembali ke penuh,Bulan berubah penuh sebulan sekali,"Bulan tidak mengubah ukuran, cahaya yang membantu kita melihatnya berubah dan yang memengaruhi bentuk apa yang terlihat bagi kita",Bulan tidak rusak dan tidak bisa diperbaiki,bulan tidak rusak ketika tidak penuh,Bulan cukup besar untuk menyembunyikan semua sinar matahari dari Bumi karena matahari dan bentuknya,Sisi bulan terbuat dari keju dan dapat dimakan
86,Pria itu membayar tagihan dengan air.,Pria itu membayar tagihan dengan uang tunai.,Air biasanya tidak tahan sementara uang berwujud.,Air bukan mata uang.,"Tidak ada yang membayar tagihan dengan air, air bukan bentuk pembayaran.",Air tidak memiliki ukuran uang.,Uang tidak bisa membasahi air.
87,Anda sedang memasak musik,Anda memasak makan malam,Musik tidak bisa dimasak,"Musik bukanlah sesuatu yang bisa disentuh, jadi karena itu tidak bisa dimasak","Anda tidak memasak musik, Anda membuat musik.",Saya suka memasak resep yang rumit,Musik harus dipertahankan dengan volume yang baik agar tidak mengganggu tetangga
88,Dia menulis cerita dalam air,Dia menulis cerita di atas kertas,Air tidak memiliki kapasitas untuk menunjukkan surat-surat cerita,Air tidak akan diam sehingga Anda tidak bisa menulis di dalamnya.,Anda tidak bisa menulis di atas air,Air tidak memiliki warna dan tulisan tidak mungkin,Air dicuci cerita saat menulis
89,Penyimpanan di setiap komputer tidak terbatas.,Komputer dapat kehabisan penyimpanan.,Komputer memiliki ruang terbatas dalam hard-rive sehingga penyimpanan tidak terbatas.,Komputer memiliki penyimpanan terbatas,Komputer memiliki penyimpanan terbatas,Komputer menjadi lelah ketika ada terlalu banyak file sehingga penyimpanan tidak terbatas.,Komputer kecil dan file berukuran besar sehingga komputer hanya bisa memuat sejumlah kecil file.
90,Orang-orang hanya menangis ketika mereka marah.,Orang-orang menangis ketika mereka sedih.,Menangis adalah respons alami untuk menjadi sedih dan banyak orang menangis ketika mereka sedih untuk mengungkapkan perasaan itu.,"Orang menangis karena berbagai alasan, tidak hanya ketika mereka marah",Orang-orang menangis karena berbagai alasan.,Mustahil untuk menangis ketika Anda marah.,Tidak ada yang pernah menangis ketika mereka marah.
91,Kebanyakan orang suka hamburger dan puding di pagi hari.,Kebanyakan orang suka minum kopi dan donat di pagi hari.,"Hamburger adalah makanan makan siang atau makan malam, dan puding adalah makanan penutup.",Kebanyakan orang menemukan hamburger sebagai makanan berat dan dianjurkan untuk makan sesuatu yang ringan untuk sarapan.,"Hamburger dan puding adalah pilihan makan siang atau makan malam, bukan sarapan.",Hamburger sering memiliki selada dan puding sering dibumbui dengan cokelat.,Hamburger dan puding keduanya mengandung karbohidrat.
92,Frank memukul Will dengan bantal yang menyebabkannya kesakitan,Frank memukul Will dengan batu yang menyebabkannya kesakitan,Bantal lebih lembut dari pada batu dan tidak menyebabkan cedera,bantal lembut dan tidak menimbulkan rasa sakit jika dilemparkan pada seseorang,Bantal ringan dan lembut dan tidak dapat menyebabkan rasa sakit.,Bantal lebih besar dari batu,Bantal dan batu bisa berwarna putih
93,dia menaruh kaus kaki itu di drum.,Dia memakai kaus kaki.,Drum jauh lebih besar dari kaus kaki.,kaus kaki tidak muat pada drum,Drum tidak memakai pakaian.,Drum tidak terbuat dari kayu sedangkan kaus kaki terbuat dari kain.,Sebuah drum tidak memiliki kaki.
94,dia mencukur giginya,dia mencukur jenggotnya,tidak ada rambut di gigi,Gigi tidak memiliki rambut.,Seseorang tidak mencukur giginya.,itu ilegal untuk mencukur gigi,gigi tidak dapat diakses cukup untuk dicukur
95,Dia menempatkan mustard pada bintang.,Dia menaruh mustard di sebuah corndog.,Bintang terlalu jauh bagi seseorang kecuali bumbu.,Bintang bukanlah makanan.,Bintang-bintang terlalu jauh untuk dipakai kecuali untuk pesawat ruang angkasa.,Orang membayar uang untuk memberi nama bintang yang berbeda.,Awan membuat sulit untuk melihat bintang-bintang di langit.
97,Dia sedang bermain kulkas,Dia sedang bermain musik,Kulkas adalah alat dan bukan alat musik,Kulkas bukan instrumen.,Anda tidak bisa bermain kulkas.,Dia tidak tahu lemari es,Kulkas berwarna abu-abu
98,Seseorang tidak diperbolehkan mengunjungi kerabatnya.,Seseorang dapat mengunjungi kerabat.,"Adalah hak asasi manusia untuk mengunjungi kerabat dan tidak ada hukum yang melarangnya, sehingga Anda dapat mengunjungi kerabat.",Kerabat dapat saling mengunjungi.,Orang sering mengunjungi keluarga.,Secara hukum Anda dituntut untuk mengunjungi kerabat Anda.,Anda dipandang rendah jika Anda tidak mengunjungi kerabat dan dipermalukan.
100,Tekanan darah rendah adalah cara berbahaya untuk diet dan menurunkan berat badan.,"Diet adalah cara yang bagus untuk menurunkan tekanan darah, dan menurunkan berat badan.","Menurunkan tekanan darah tinggi, dan penurunan berat badan adalah hasil dari makan sehat dan berolahraga.",Menurunkan berat badan menurunkan tekanan darah,Memiliki tekanan darah rendah bukanlah cara diet,Makan sehat itu berbahaya karena bisa menurunkan tekanan darah dan membuat Anda memiliki kelainan makan.,Gangguan makan dan tekanan darah rendah yang berbahaya adalah akibat dari makan sehat dan menurunkan berat badan.
101,Tanaman dapat membuat komputer,Tanaman dapat membuat karbohidrat,Komputer bukan produk organik dan dibuat oleh manusia,Tanaman tidak dapat membuat komputer.,Tumbuhan hanya menghasilkan oksigen dan buah-buahan atau sayuran bukan barang-barang yang terbuat dari plastik seperti komputer,"Pabrik ada di seluruh dunia, sedangkan komputer hanya di negara maju","Hewan memakan tumbuhan, tetapi bukan komputer"
102,Teman saya suka makan barang elektronik.,Teman saya suka makan makanan non-sayuran,Tidak ada yang bisa mencerna barang elektronik.,Produk elektronik tidak boleh dimakan,Anda akan mati jika makan elektronik,Barang elektronik sekarang sangat kecil untuk dimakan.,Barang elektronik dapat menyebabkan kejutan saat makan.
103,Eropa di Perancis,france ada di Eropa,Eropa adalah benua tetapi Perancis adalah sebuah negara,Eropa adalah wilayah yang lebih besar dari Prancis.,Eropa adalah benua dan terlalu besar untuk berada di negara kecil seperti Perancis.,france bukan Eropa,Eropa bukan negara Prancis
104,Dia mengendarai mobilnya ke bulan,Dia mengendarai mobilnya ke London,Tidak ada jalan menuju ke bulan,Bulan ada di luar angkasa.,Tidak mungkin pergi ke bulan dengan mobil,Mobilnya tidak memiliki ban bulan,Bulan ditutup untuk perbaikan hari itu
